Checked	Master	Accession	Description	Coverage	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	# AAs	MW [kDa]	calc. pI	Modifications	Entrez Gene ID	Ensembl Gene ID	Gene ID	Chromosome	Biological Process	Cellular Component	Molecular Function	Pfam IDs	"Abundance Ratio: (127_N, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (127_C, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (128_N, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (128_C, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (129_N, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (129_C, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (130_N, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (130_C, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (131, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance: F1: 126, Sample, Treatment_rep2"	"Abundance: F1: 127_N, Sample, Treatment_rep2"	"Abundance: F1: 127_C, Sample, Treatment_rep2"	"Abundance: F1: 128_N, Sample, Treatment_rep2"	"Abundance: F1: 128_C, Sample, Treatment_rep2"	"Abundance: F1: 129_N, Sample, Treatment_rep2"	"Abundance: F1: 129_C, Sample, Treatment_rep2"	"Abundance: F1: 130_N, Sample, Treatment_rep2"	"Abundance: F1: 130_C, Sample, Treatment_rep2"	"Abundance: F1: 131, Sample, Treatment_rep2"	"Abundances Count: F1: 126, Sample, Treatment_rep2"	"Abundances Count: F1: 127_N, Sample, Treatment_rep2"	"Abundances Count: F1: 127_C, Sample, Treatment_rep2"	"Abundances Count: F1: 128_N, Sample, Treatment_rep2"	"Abundances Count: F1: 128_C, Sample, Treatment_rep2"	"Abundances Count: F1: 129_N, Sample, Treatment_rep2"	"Abundances Count: F1: 129_C, Sample, Treatment_rep2"	"Abundances Count: F1: 130_N, Sample, Treatment_rep2"	"Abundances Count: F1: 130_C, Sample, Treatment_rep2"	"Abundances Count: F1: 131, Sample, Treatment_rep2"	emPAI	# Razor Peptides	Score Sequest HT	# Peptides Sequest HT	Score Mascot	# Peptides Mascot
FALSE	IsMasterProtein	P35244	Replication protein A 14 kDa subunit OS=Homo sapiens GN=RPA3 PE=1 SV=1	69.4214876	6	31	6	1	121	13.56	5.08		6119	ENSG00000106399	RPA3	7	cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus	nucleus	DNA binding;protein binding	Pf08661	1.019	1.105	0.908	0.723	0.52	0.425	0.193	0.096	0.06	4005.2	4079.5	4425.4	3637.6	2897.7	2082.8	1702.5	775	384.7	239.1	8	8	8	8	8	8	8	8	8	8	12.335	0	63.2288686	6	265.4830769	5
FALSE	IsMasterProtein	P35249	Replication factor C subunit 4 OS=Homo sapiens GN=RFC4 PE=1 SV=2	25.61983471	8	17	8	1	363	39.657	8.02		5984	ENSG00000163918	RFC4	3	cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus	nucleus	catalytic activity;DNA binding;nucleotide binding;protein binding	"Pf00004, Pf03215, Pf05496, Pf08542, Pf09848, Pf13086, Pf13177, Pf13191, Pf13245, Pf13401, Pf13481, Pf13604"	0.749	0.521	0.327	0.238	0.164	0.106	0.063	0.046	0.035	4580.5	3431.9	2388.7	1498.8	1091.9	751.9	486.9	289.6	211	159.9	7	7	7	7	7	7	7	7	7	7	0.978	0	30.18459773	8	153.7449181	6
FALSE	IsMasterProtein	P35250	Replication factor C subunit 2 OS=Homo sapiens GN=RFC2 PE=1 SV=3	24.85875706	8	17	8	1	354	39.132	6.44		5982	ENSG00000049541	RFC2	7	cell organization and biogenesis;cellular homeostasis;metabolic process;response to stimulus	nucleus	catalytic activity;DNA binding;nucleotide binding;protein binding	"Pf00004, Pf01078, Pf01443, Pf03215, Pf05496, Pf08542, Pf13086, Pf13173, Pf13177, Pf13191, Pf13207, Pf13238, Pf13245, Pf13401"	0.679	0.427	0.249	0.164	0.111	0.091	0.065	0.052	0.041	6855.3	4655.3	2924.3	1708.7	1124.5	764.2	623.8	447.4	355.2	283.9	7	7	7	7	7	7	7	7	7	7	0.905	0	31.66109228	8	161.3030142	6
FALSE	IsMasterProtein	P35251	Replication factor C subunit 1 OS=Homo sapiens GN=RFC1 PE=1 SV=4	4.790940767	5	9	5	1	1148	128.175	9.36		5981	ENSG00000035928	RFC1	4	cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;Golgi;nucleus	catalytic activity;DNA binding;enzyme regulator activity;nucleotide binding;protein binding	"Pf00004, Pf00533, Pf03215, Pf05496, Pf06414, Pf08519, Pf12738, Pf13207, Pf13238"	1.035	1.078	0.973	0.88	0.631	0.561	0.406	0.379	0.303	1646.8	1703.7	1774.8	1602.6	1449.6	1038.8	924.2	669.3	624.6	498.8	5	5	5	5	5	5	5	5	5	5	0.191	0	16.76334691	5	84.56333333	4
FALSE	IsMasterProtein	P35268	60S ribosomal protein L22 OS=Homo sapiens GN=RPL22 PE=1 SV=2	50.78125	4	8	4	1	128	14.778	9.19		6146	ENSG00000116251	RPL22	1	cell differentiation;cell organization and biogenesis;metabolic process;transport	cytoplasm;cytosol;nucleus;ribosome	protein binding;RNA binding;structural molecule activity	Pf01776	0.877	0.866	0.821	0.639	0.528	0.411	0.099	0.037	0.035	765.2	671.4	662.9	628.5	488.6	404.2	314.3	75.8	28.6	26.9	3	3	3	3	3	3	3	3	3	3	3.642	0	19.22911072	4	206.44	4
FALSE	IsMasterProtein	P35269	General transcription factor IIF subunit 1 OS=Homo sapiens GN=GTF2F1 PE=1 SV=2	31.91489362	12	34	12	1	517	58.205	7.49		2962	ENSG00000125651	GTF2F1	19	metabolic process;regulation of biological process;response to stimulus	nucleus	catalytic activity;DNA binding;enzyme regulator activity;protein binding;RNA binding	Pf05793	0.99	0.992	0.899	0.705	0.485	0.326	0.203	0.182	0.19	4737.8	4692.4	4702.2	4261.6	3337.8	2298.1	1546.5	960	860.3	898.4	12	12	12	12	12	12	12	12	12	12	2.455	0	70.51338768	11	523.395	12
FALSE	IsMasterProtein	P35270	Sepiapterin reductase OS=Homo sapiens GN=SPR PE=1 SV=1	32.18390805	7	24	7	1	261	28.031	8.05		6697	ENSG00000116096	SPR	2	cell organization and biogenesis;metabolic process;regulation of biological process	cytoplasm;cytosol;mitochondrion;nucleus	catalytic activity;nucleotide binding	Pf00106	1.001	0.981	0.821	0.488	0.244	0.151	0.076	0.051	0.033	2779.6	2781.6	2726.6	2281.5	1357.1	678.4	420	210.9	140.5	92.8	6	6	6	6	6	6	6	6	6	6	2.162	0	43.44237518	7	379.0113212	7
FALSE	IsMasterProtein	P35442	Thrombospondin-2 OS=Homo sapiens GN=THBS2 PE=1 SV=2	0.597269625	1	1	1	1	1172	129.908	4.83		7058	ENSG00000186340	THBS2	6	regulation of biological process	extracellular	metal ion binding;protein binding	"Pf00090, Pf00093, Pf02412, Pf05735, Pf12947"																														0.042	0	2.077451468	1		
FALSE	IsMasterProtein	P35475	Alpha-L-iduronidase OS=Homo sapiens GN=IDUA PE=1 SV=2	1.531393568	1	2	1	1	653	72.625	9.14		3425	ENSG00000127415	IDUA	4	cell organization and biogenesis;metabolic process	organelle lumen;vacuole	catalytic activity;protein binding	Pf01229	1.014	0.993	0.875	0.692	0.531	0.311	0.2	0.15	0.096	217.9	220.9	216.4	190.6	150.8	115.7	67.8	43.6	32.6	20.9	1	1	1	1	1	1	1	1	1	1	0.066	0	3.283084393	1	33.07	1
FALSE	IsMasterProtein	P35520-2	Isoform 2 of Cystathionine beta-synthase OS=Homo sapiens GN=CBS	45.30973451	21	95	21	1	565	61.824	6.44		875; 102724560	ENSG00000160200; ENSG00000274276	CBS; LOC102724560; CBSL	21	cell communication;metabolic process;response to stimulus	cytoplasm;cytosol;nucleus	catalytic activity;metal ion binding;protein binding	"Pf00291, Pf00571"	1.011	1.057	1.001	0.763	0.364	0.155	0.087	0.062	0.058	13172.5	13316.5	13926	13184.7	10056.4	4790.5	2045.7	1147.4	814.9	768.8	23	23	23	23	23	23	23	23	23	23	7.62	0	160.7579572	20	994.8405221	20
FALSE	IsMasterProtein	P35527	"Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3"	11.07544141	5	10	4	1	623	62.027	5.24		3857	ENSG00000171403	KRT9	17	cell organization and biogenesis	membrane;nucleus	structural molecule activity	"Pf00038, Pf13166"	1.069	1.534	1.212	1.548	0.911	0.742	1.451	0.319	1.01	583	623	894.1	706.7	902.4	530.9	432.3	845.9	185.7	588.7	4	4	4	4	4	4	4	4	4	4	0.403	0	16.76382184	5	147.1602057	5
FALSE	IsMasterProtein	P35558	"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] OS=Homo sapiens GN=PCK1 PE=1 SV=3"	5.144694534	3	6	1	1	622	69.15	6.14		5105	ENSG00000124253	PCK1	20	cell communication;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol	catalytic activity;metal ion binding;nucleotide binding	Pf00821	0.864	0.776	0.722	0.398	0.262	0.209	0.161	0.114	0.145	424.8	367	329.7	306.8	169.1	111.1	88.7	68.5	48.5	61.7	1	1	1	1	1	1	1	1	1	1	0.274	0	15.0681355	3	74.84	2
FALSE	IsMasterProtein	P35573	Glycogen debranching enzyme OS=Homo sapiens GN=AGL PE=1 SV=3	17.68929504	26	61	26	1	1532	174.652	6.76		178	ENSG00000162688	AGL	1	metabolic process;response to stimulus	cytoplasm;cytosol;endoplasmic reticulum;nucleus	catalytic activity;protein binding	"Pf06202, Pf14699, Pf14701, Pf14702"	1.027	0.978	0.894	0.633	0.25	0.134	0.074	0.058	0.047	11669.5	11989.9	11409.5	10434.4	7383.6	2913.4	1569.2	863.1	675.2	543.5	24	24	24	24	24	24	24	24	24	24	0.851	0	100.1239769	26	471.4301286	25
FALSE	IsMasterProtein	P35579	Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4	55.81632653	111	614	92	1	1960	226.392	5.6		4627	ENSG00000100345	MYH9	22	cell differentiation;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;membrane;nucleus	catalytic activity;motor activity;nucleotide binding;protein binding;RNA binding;transporter activity	"Pf00063, Pf01442, Pf01496, Pf01576, Pf01765, Pf02736, Pf03962, Pf04111, Pf04156, Pf05911, Pf06637, Pf07888, Pf09731, Pf11068, Pf11559, Pf12128, Pf13094"	0.987	1.061	1.015	0.799	0.407	0.136	0.078	0.056	0.045	81356.5	80336.4	86293.1	82552.4	65018.3	33115.1	11031.6	6344.2	4530.1	3653.8	138	138	138	138	138	138	138	138	138	138	19.789	23	1183.223757	111	6800.85785	105
FALSE	IsMasterProtein	P35580-3	Isoform 3 of Myosin-10 OS=Homo sapiens GN=MYH10	53.93089634	103	376	85	1	1997	231.226	5.53		4628	ENSG00000133026	MYH10	17	cell organization and biogenesis;cell proliferation;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;membrane;mitochondrion;nucleus	catalytic activity;motor activity;nucleotide binding;protein binding;transporter activity	"Pf00063, Pf00769, Pf01496, Pf01576, Pf02736, Pf04111, Pf05622, Pf05911, Pf06637, Pf07888, Pf09726, Pf12128, Pf13094, Pf13514"	0.976	1.05	0.927	0.657	0.275	0.155	0.069	0.05	0.039	40429.5	39443.6	42466.3	37477.7	26549.3	11126.2	6274.4	2791.6	2027.1	1564.4	88	88	88	88	88	88	88	88	88	88	8.823	0	763.7578717	103	4269.341334	95
FALSE	IsMasterProtein	P35606	Coatomer subunit beta' OS=Homo sapiens GN=COPB2 PE=1 SV=2	31.56732892	26	80	26	1	906	102.422	5.27		9276	ENSG00000184432	COPB2	3	cell organization and biogenesis;transport	cytoplasm;cytosol;Golgi;membrane	protein binding;structural molecule activity	"Pf00400, Pf04053"	1.002	1.046	0.864	0.53	0.203	0.108	0.063	0.046	0.041	9413.7	9427.9	9844.5	8133.3	4987.7	1911.6	1018.1	594	433.7	389.5	21	21	21	21	21	21	21	21	21	21	2.884	0	134.6786752	26	832.7210093	26
FALSE	IsMasterProtein	P35612	Beta-adducin OS=Homo sapiens GN=ADD2 PE=1 SV=3	50.41322314	30	105	29	1	726	80.803	5.92		119	ENSG00000075340	ADD2	2	cell organization and biogenesis;regulation of biological process;transport	cytoplasm;cytoskeleton;cytosol;membrane	metal ion binding;protein binding;structural molecule activity	Pf00596	0.968	0.983	0.886	0.747	0.557	0.49	0.341	0.248	0.15	11545.8	11181	11347.8	10229.2	8619.6	6433.5	5663.1	3936.2	2859.3	1732	31	31	31	31	31	31	31	31	31	31	7.547	1	191.3244392	29	1316.956596	29
FALSE	IsMasterProtein	P35613	Basigin OS=Homo sapiens GN=BSG PE=1 SV=2	7.792207792	4	9	4	1	385	42.174	5.66		682	ENSG00000172270	BSG	19	cell organization and biogenesis;cellular component movement;coagulation;metabolic process;regulation of biological process;response to stimulus;transport	membrane;mitochondrion	protein binding	"Pf00047, Pf07679, Pf13895, Pf13927"	0.869	0.837	0.69	0.563	0.401	0.258	0.152	0.124	0.089	1104.9	960.3	924.8	762	622.6	442.8	285.4	168	136.7	97.9	3	3	3	3	3	3	3	3	3	3	0.778	0	7.578965068	4	35.47	3
FALSE	IsMasterProtein	P35658	Nuclear pore complex protein Nup214 OS=Homo sapiens GN=NUP214 PE=1 SV=2	23.8277512	37	119	1	1	2090	213.488	7.47		8021	ENSG00000126883	NUP214	9	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytosol;nucleus	protein binding;transporter activity		0.934	0.908	0.752	0.454	0.259	0.181	0.149	0.135	0.14	19110.7	17842.7	17361.3	14372.3	8670.9	4950.9	3450.2	2847.2	2586.7	2674.7	34	34	34	34	34	34	34	34	34	34	2.618	33	241.182008	37	1379.686408	34
FALSE	IsMasterProtein	P35658-3	Isoform 3 of Nuclear pore complex protein Nup214 OS=Homo sapiens GN=NUP214	23.86417982	37	121	1	1	2091	213.559	7.47			ENSG00000126883		9					0.924	0.886	0.751	0.527	0.363	0.283	0.188	0.152	0.118	897.7	829.9	795.6	674.4	472.8	326.2	253.8	168.7	136.8	106	1	1	1	1	1	1	1	1	1	1	2.618	0	244.4927371	37	1372.532733	34
FALSE	IsMasterProtein	P35659	Protein DEK OS=Homo sapiens GN=DEK PE=1 SV=1	30.66666667	11	22	11	1	375	42.648	8.56		7913	ENSG00000124795	DEK	6	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	nucleus	DNA binding;protein binding;RNA binding	"Pf02037, Pf08766"	0.933	0.918	0.762	0.522	0.34	0.283	0.198	0.195	0.162	5135.4	4789.8	4712.7	3911.1	2681.9	1744.7	1450.9	1015.5	998.9	832.9	10	10	10	10	10	10	10	10	10	10	2.162	0	39.31855631	10	296.9298215	8
FALSE	IsMasterProtein	P35670	Copper-transporting ATPase 2 OS=Homo sapiens GN=ATP7B PE=1 SV=4	1.433447099	3	5	3	1	1465	157.162	6.7		540	ENSG00000123191	ATP7B	13	cellular homeostasis;metabolic process;response to stimulus;transport	cytoplasm;endosome;Golgi;membrane;mitochondrion	catalytic activity;metal ion binding;nucleotide binding;protein binding;transporter activity	"Pf00122, Pf00403, Pf00702, Pf08282, Pf12710, Pf13344"	0.929	0.919	0.747	0.521	0.305	0.159	0.065	0.051	0.06	790.9	735	727.2	590.8	412.3	240.9	126	51.2	40.6	47.1	3	3	3	3	3	3	3	3	3	3	0.101	0	7.455572367	2	66.05	3
FALSE	IsMasterProtein	P35712	Transcription factor SOX-6 OS=Homo sapiens GN=SOX6 PE=1 SV=3	1.570048309	1	2	1	1	828	91.864	7.78		55553	ENSG00000110693	SOX6	11	cell differentiation;cell organization and biogenesis;development;metabolic process;regulation of biological process;response to stimulus	nucleus	DNA binding;protein binding	"Pf00505, Pf09011"	0.937	1.069	1.042	0.753	0.518	0.516	0.48	0.445	0.363	173	162.1	184.9	180.2	130.2	89.7	89.3	83.1	77	62.8	1	1	1	1	1	1	1	1	1	1	0.053	0	3.242047787	1	26.15	1
FALSE	IsMasterProtein	P35716	Transcription factor SOX-11 OS=Homo sapiens GN=SOX11 PE=1 SV=2	1.814058957	1	3	1	1	441	46.65	5.05		6664	ENSG00000176887	SOX11	2	cell differentiation;cell proliferation;development;metabolic process;regulation of biological process;response to stimulus	cytoplasm;nucleus	DNA binding;protein binding;RNA binding	"Pf00505, Pf09011"	1.073	1.203	1.132	1.068	0.841	0.669	0.339	0.228	0.058	431	462.3	518.4	487.7	460.4	362.5	288.4	146.1	98.4	25	1	1	1	1	1	1	1	1	1	1	0.136	0	3.789856076	1	0	1
FALSE	IsMasterProtein	P35754	Glutaredoxin-1 OS=Homo sapiens GN=GLRX PE=1 SV=2	30.18867925	2	4	2	1	106	11.768	8.09		2745	ENSG00000173221	GLRX	5	cellular homeostasis;metabolic process;regulation of biological process;transport	cytoplasm;cytosol;mitochondrion;nucleus	catalytic activity;protein binding	"Pf00462, Pf05768, Pf13098, Pf13417, Pf13462"	0.989	1.014	1.041	0.876	0.73	0.735	0.765	0.76	0.838	243.4	240.7	246.7	253.5	213.3	177.8	178.9	186.1	185	203.9	2	2	2	2	2	2	2	2	2	2	1.154	0	9.67434597	2	82.92	2
FALSE	IsMasterProtein	P35790	Choline kinase alpha OS=Homo sapiens GN=CHKA PE=1 SV=3	5.251641138	3	5	3	1	457	52.215	6.55		1119	ENSG00000110721	CHKA	11	metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol	catalytic activity;nucleotide binding;protein binding;signal transducer activity	"Pf01633, Pf01636"	0.945	0.972	0.809	0.645	0.339	0.246	0.104	0.054	0.038	965.7	912.9	938.7	781.7	623.3	327.8	238	100.5	52.5	36.9	3	3	3	3	3	3	3	3	3	3	0.318	0	8.655812025	3	37.79	2
FALSE	IsMasterProtein	P35908	"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2"	27.07355243	17	43	12	1	639	65.393	8		3849	ENSG00000172867	KRT2	12	cell proliferation;cellular component movement	cytoplasm;cytoskeleton;Golgi;membrane;nucleus	protein binding;structural molecule activity	"Pf00038, Pf08614, Pf12128, Pf13166"	1.071	1.328	1.281	1.814	0.906	0.943	1.065	1.003	2.555	2797.7	2996.5	3716.5	3583.8	5075.9	2535.1	2638.9	2980.7	2805.6	7147	12	12	12	12	12	12	12	12	12	12	1.485	2	78.941769	17	376.9266667	16
FALSE	IsMasterProtein	P35914	"Hydroxymethylglutaryl-CoA lyase, mitochondrial OS=Homo sapiens GN=HMGCL PE=1 SV=2"	24.30769231	8	22	6	1	325	34.338	8.54		3155	ENSG00000117305	HMGCL	1	cell organization and biogenesis;metabolic process;response to stimulus	membrane;mitochondrion;organelle lumen	catalytic activity;metal ion binding;protein binding	Pf00682	1.023	1.103	0.861	0.568	0.3	0.186	0.105	0.077	0.057	4371.2	4471.9	4823	3762	2483.5	1311.1	814.2	459.2	335.1	247.8	5	5	5	5	5	5	5	5	5	5	1.783	1	41.45302808	8	226.659896	8
FALSE	IsMasterProtein	P35998	26S protease regulatory subunit 7 OS=Homo sapiens GN=PSMC2 PE=1 SV=3	70.90069284	27	148	27	1	433	48.603	5.95		5701	ENSG00000161057	PSMC2	7	cell death;cell differentiation;cellular component movement;defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;membrane;nucleus;proteasome	catalytic activity;nucleotide binding;protein binding	"Pf00004, Pf00158, Pf07724, Pf07726, Pf07728, Pf13191, Pf13401"	1.028	1.077	0.994	0.652	0.333	0.138	0.075	0.051	0.04	23659	24329.9	25475.3	23507.1	15425.4	7889.2	3264.9	1785.8	1199.4	945.7	37	37	37	37	37	37	37	37	37	37	20.017	0	272.6603907	26	1652.425609	26
FALSE	IsMasterProtein	P36402-3	Isoform 1L of Transcription factor 7 OS=Homo sapiens GN=TCF7	5.454545455	1	1	1	1	495	54.091	8.78								protein binding	"Pf00505, Pf08347, Pf09011"	0.963	0.885	0.997	0.819	0.6	0.547	0.339	0.312	0.232	37.5	36.1	33.2	37.4	30.7	22.5	20.5	12.7	11.7	8.7	1	1	1	1	1	1	1	1	1	1	0.096	0	2.120432377	1		
FALSE	IsMasterProtein	P36404	ADP-ribosylation factor-like protein 2 OS=Homo sapiens GN=ARL2 PE=1 SV=4	39.13043478	7	17	7	1	184	20.865	6.34		402	ENSG00000213465	ARL2	11	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytoskeleton;cytosol;mitochondrion;nucleus;organelle lumen	catalytic activity;enzyme regulator activity;nucleotide binding;protein binding	"Pf00025, Pf00071, Pf00503, Pf01926, Pf04670, Pf08477, Pf09439"	0.995	1.185	0.734	0.424	0.123	0.043	0.015	0.01	0.01	4343.7	4321.8	5145.4	3188.5	1839.7	535.9	186.5	65.9	42.3	35.2	6	6	6	6	6	6	6	6	6	6	4.337	0	31.87757921	6	234.7061995	7
FALSE	IsMasterProtein	P36405	ADP-ribosylation factor-like protein 3 OS=Homo sapiens GN=ARL3 PE=1 SV=2	50.54945055	8	21	8	1	182	20.443	7.24		403	ENSG00000138175	ARL3	10	cell division;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;Golgi;membrane;nucleus	catalytic activity;metal ion binding;nucleotide binding;protein binding;signal transducer activity	"Pf00009, Pf00025, Pf00071, Pf00503, Pf01926, Pf04670, Pf08477, Pf09439"	1.062	1.222	0.96	0.829	0.634	0.528	0.273	0.161	0.113	2088.7	2218.8	2552.9	2006	1730.8	1324.6	1103.3	570.4	336.6	236.8	6	6	6	6	6	6	6	6	6	6	3.642	0	38.04277539	7	223.3850889	8
FALSE	IsMasterProtein	P36507	Dual specificity mitogen-activated protein kinase kinase 2 OS=Homo sapiens GN=MAP2K2 PE=1 SV=1	32	14	39	11	1	400	44.396	6.55		5605	ENSG00000126934	MAP2K2	19	cell proliferation;cellular component movement;defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;endoplasmic reticulum;endosome;extracellular;Golgi;membrane;mitochondrion;nucleus	catalytic activity;enzyme regulator activity;metal ion binding;nucleotide binding;protein binding;structural molecule activity	"Pf00069, Pf07714, Pf14531"	1.009	0.986	0.892	0.477	0.196	0.084	0.049	0.036	0.027	5962.8	6016.3	5879	5320.8	2846.4	1170.2	503.7	289.5	213.3	163.7	11	11	11	11	11	11	11	11	11	11	4.78	2	81.96390927	14	463.5737923	12
FALSE	IsMasterProtein	P36542	"ATP synthase subunit gamma, mitochondrial OS=Homo sapiens GN=ATP5C1 PE=1 SV=1"	13.42281879	4	7	4	1	298	32.975	9.22		509	ENSG00000165629	ATP5C1	10	metabolic process;transport	membrane;mitochondrion;organelle lumen	catalytic activity;RNA binding;transporter activity	Pf00231	0.748	0.623	0.501	0.338	0.252	0.214	0.15	0.134	0.077	2593.6	1939.6	1616.5	1300.5	876.4	654.2	555.6	388.6	346.4	200.2	3	3	3	3	3	3	3	3	3	3	0.668	0	14.39777923	4	73.20666667	3
FALSE	IsMasterProtein	P36543	V-type proton ATPase subunit E 1 OS=Homo sapiens GN=ATP6V1E1 PE=1 SV=1	57.07964602	13	63	13	1	226	26.129	8		529	ENSG00000131100	ATP6V1E1	22	cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;endosome;membrane;mitochondrion	catalytic activity;protein binding;transporter activity	Pf01991	1.002	1.067	0.911	0.718	0.591	0.411	0.129	0.091	0.063	8640	8653.6	9214.7	7868.8	6205.2	5104.1	3552.9	1115.1	786.7	544.7	21	21	21	21	21	21	21	21	21	21	22.714	0	105.9151487	13	489.5136109	13
FALSE	IsMasterProtein	P36551	"Coproporphyrinogen-III oxidase, mitochondrial OS=Homo sapiens GN=CPOX PE=1 SV=3"	37.2246696	13	52	13	1	454	50.12	8.25		1371	ENSG00000080819	CPOX	3	metabolic process;response to stimulus	cytoplasm;membrane;mitochondrion	catalytic activity;protein binding;structural molecule activity	Pf01218	1.016	1.103	1.057	0.973	0.744	0.639	0.336	0.145	0.077	7017.6	7128.6	7737.2	7415.9	6828.9	5217.8	4481.8	2360.4	1019.5	536.9	13	13	13	13	13	13	13	13	13	13	2.687	0	117.9011862	13	655.66	13
FALSE	IsMasterProtein	P36578	60S ribosomal protein L4 OS=Homo sapiens GN=RPL4 PE=1 SV=5	34.42622951	18	54	17	1	427	47.667	11.06		6124	ENSG00000174444	RPL4	15	cell organization and biogenesis;metabolic process;transport	cytoplasm;cytosol;membrane;nucleus;ribosome	protein binding;RNA binding;structural molecule activity	"Pf00573, Pf14374"	0.92	1.031	0.927	0.872	0.752	0.675	0.209	0.089	0.063	5973.9	5497.2	6159.7	5538.9	5211	4492.6	4030.7	1249.1	530.2	379	15	15	15	15	15	15	15	15	15	15	4.412	0	98.28311408	17	489.1152632	12
FALSE	IsMasterProtein	P36639	"7,8-dihydro-8-oxoguanine triphosphatase OS=Homo sapiens GN=NUDT1 PE=1 SV=3"	23.85786802	4	20	4	1	197	22.505	5.27		4521		NUDT1	7	cell communication;metabolic process;response to stimulus	cytoplasm;cytosol;mitochondrion;nucleus;organelle lumen	catalytic activity;metal ion binding;protein binding;RNA binding	Pf00293	0.973	0.972	0.968	0.86	0.671	0.422	0.137	0.063	0.045	1948.6	1896.8	1894.1	1885.3	1676.1	1307.8	821.9	267.8	123.5	88.1	5	5	5	5	5	5	5	5	5	5	1.61	0	39.10568595	4	210.2751808	4
FALSE	IsMasterProtein	P36873-2	Isoform Gamma-2 of Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens GN=PPP1CC	48.07121662	12	82	2	1	337	38.493	6.13		5501	ENSG00000186298	PPP1CC	12	cell differentiation;cell division;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;mitochondrion;nucleus	catalytic activity;metal ion binding;protein binding;RNA binding	Pf00149	1	1.029	0.975	0.804	0.614	0.446	0.237	0.133	0.081	987.3	987	1015.6	963.1	793.4	606	440.5	234.2	131	79.8	2	2	2	2	2	2	2	2	2	2	4.337	0	160.6359906	12	735.3033333	11
FALSE	IsMasterProtein	P36897-2	Isoform 2 of TGF-beta receptor type-1 OS=Homo sapiens GN=TGFBR1	3.15581854	1	9	1	1	507	56.312	7.55		7046	ENSG00000106799	TGFBR1	9	cell death;cell differentiation;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus	endosome;membrane	catalytic activity;metal ion binding;nucleotide binding;protein binding;receptor activity;signal transducer activity	"Pf00069, Pf01064, Pf07714, Pf08515"	0.983	1.021	0.873	0.696	0.544	0.399	0.25	0.183	0.105	1003	985.6	1023.8	875.2	697.6	545.3	399.8	250.6	183.1	105.7	2	2	2	2	2	2	2	2	2	2	0.166	0	2.006054163	1		
